athlete_id,athlete_name,event_date,event_name,race_category,distance,finish_status,finish_position,field_size,finish_pct,total_time,swim_time,bike_time,run_time
3,Aspen Anderson,2024-02-24,2024 Oceania Triathlon Junior Championships Napier,championship,sprint,FINISH,1.0,19,0.05263157894736842,01:03:13,00:10:55,00:32:37,00:18:33
3,Aspen Anderson,2024-05-03,2024 Oceania Triathlon Super-Sprint Championships Gold Coast,championship,super_sprint,FINISH,5.0,32,0.15625,00:14:41,00:01:57,00:07:44,00:03:54
3,Aspen Anderson,2024-06-23,2024 Asia Triathlon Cup Gamagori,continental_cup,sprint,FINISH,13.0,43,0.3023255813953488,01:05:15,00:10:25,00:33:29,00:18:27
3,Aspen Anderson,2024-09-28,2024 Europe Triathlon Junior Cup Salini,continental_cup,super_sprint,FINISH,1.0,39,0.02564102564102564,00:30:32,00:04:46,00:16:21,00:08:47
3,Aspen Anderson,2024-10-17,2024 World Triathlon Championship Finals Torremolinos-Andalucia,championship,sprint,DNF,,68,,DNF,00:11:39,00:00:00,00:00:00
3,Aspen Anderson,2025-02-23,2025 World Triathlon Cup Napier,other,sprint,FINISH,18.0,26,0.6923076923076923,00:59:06,00:10:02,00:30:24,00:17:43
3,Aspen Anderson,2025-03-15,2025 Oceania Triathlon Championships Devonport,championship,sprint,FINISH,1.0,26,0.038461538461538464,01:02:51,00:10:12,00:34:16,00:17:03
3,Aspen Anderson,2025-05-03,2025 Oceania Triathlon Super-Sprint Championships Runaway Bay,championship,sprint,FINISH,7.0,33,0.21212121212121213,00:20:34,00:03:20,00:11:25,00:04:40
3,Aspen Anderson,2025-07-05,2025 Europe Triathlon Junior Cup Tiszaujvaros,continental_cup,sprint,FINISH,27.0,52,0.5192307692307693,00:00:00,00:06:50,00:19:49,00:00:00
3,Aspen Anderson,2025-10-15,2025 World Triathlon Championship Finals Wollongong,championship,sprint,FINISH,30.0,53,0.5660377358490566,01:07:23,00:11:31,00:35:36,00:18:56
6,Mathis Beaulieu,2024-03-08,2024 Americas Triathlon Championships Miami,championship,standard,DNF,,38,,DNF,00:00:00,00:00:00,00:00:00
6,Mathis Beaulieu,2024-03-08,2024 Americas Triathlon Championships Miami,championship,standard,DNF,,70,,DNF,00:00:00,00:00:00,00:00:00
6,Mathis Beaulieu,2024-03-31,2024 Americas Triathlon Cup Viña del Mar,continental_cup,sprint,FINISH,2.0,37,0.05405405405405406,00:58:56,00:10:10,00:33:08,00:13:27
6,Mathis Beaulieu,2024-05-18,2024 World Triathlon Cup Huatulco,other,sprint,FINISH,2.0,52,0.038461538461538464,00:58:15,00:09:35,00:32:27,00:14:45
6,Mathis Beaulieu,2024-06-08,2024 Americas Triathlon Cup Ixtapa,continental_cup,sprint,FINISH,1.0,70,0.014285714285714285,00:55:09,00:08:51,00:28:19,00:15:11
6,Mathis Beaulieu,2024-07-06,2024 World Triathlon Cup Tiszaujvaros,other,sprint,FINISH,19.0,65,0.2923076923076923,00:54:44,00:09:12,00:28:43,00:15:30
6,Mathis Beaulieu,2024-07-13,2024 World Triathlon Championship Series Hamburg,championship,sprint,FINISH,45.0,57,0.7894736842105263,00:53:17,00:09:27,00:28:18,00:14:39
6,Mathis Beaulieu,2024-09-14,2024 World Triathlon Cup Valencia,other,sprint,FINISH,11.0,65,0.16923076923076924,00:50:23,00:09:12,00:25:35,00:14:39
6,Mathis Beaulieu,2024-10-17,2024 World Triathlon Championship Finals Torremolinos-Andalucia,championship,standard,DNF,,70,,DNF,00:19:06,00:55:07,00:00:00
6,Mathis Beaulieu,2025-03-28,2025 Americas Triathlon Cup Miami,continental_cup,sprint,FINISH,8.0,58,0.13793103448275862,00:50:30,00:08:50,00:25:13,00:15:23
6,Mathis Beaulieu,2025-05-10,2025 World Triathlon Cup Chengdu,other,standard,FINISH,11.0,56,0.19642857142857142,01:40:19,00:18:50,00:49:43,00:30:38
